Caller,Callee,ReturnType,Package,IsInternal,ArgCount,Line
org.springframework.samples.petclinic.model.NamedEntity#toString,org.springframework.samples.petclinic.model.NamedEntity#getName,java.lang.String,org.springframework.samples.petclinic.model,true,0,47
org.springframework.samples.petclinic.model.ValidatorTests#createValidator,org.springframework.validation.beanvalidation.LocalValidatorFactoryBean#afterPropertiesSet,void,org.springframework.samples.petclinic.model,false,0,39
org.springframework.samples.petclinic.model.ValidatorTests#shouldNotValidateWhenFirstNameEmpty,org.springframework.context.i18n.LocaleContextHolder#setLocale,void,org.springframework.samples.petclinic.model,false,1,46
org.springframework.samples.petclinic.model.ValidatorTests#shouldNotValidateWhenFirstNameEmpty,org.springframework.samples.petclinic.model.Person#setFirstName,void,org.springframework.samples.petclinic.model,true,1,48
org.springframework.samples.petclinic.model.ValidatorTests#shouldNotValidateWhenFirstNameEmpty,org.springframework.samples.petclinic.model.Person#setLastName,void,org.springframework.samples.petclinic.model,true,1,49
org.springframework.samples.petclinic.model.ValidatorTests#shouldNotValidateWhenFirstNameEmpty,org.springframework.samples.petclinic.model.ValidatorTests#createValidator,jakarta.validation.Validator,org.springframework.samples.petclinic.model,true,0,51
org.springframework.samples.petclinic.model.ValidatorTests#shouldNotValidateWhenFirstNameEmpty,jakarta.validation.Validator#validate,java.util.Set,org.springframework.samples.petclinic.model,false,1,52
org.springframework.samples.petclinic.model.ValidatorTests#shouldNotValidateWhenFirstNameEmpty,UNKNOWN,void,org.springframework.samples.petclinic.model,false,1,54
org.springframework.samples.petclinic.model.ValidatorTests#shouldNotValidateWhenFirstNameEmpty,UNKNOWN,void,org.springframework.samples.petclinic.model,false,1,54
org.springframework.samples.petclinic.model.ValidatorTests#shouldNotValidateWhenFirstNameEmpty,UNKNOWN,jakarta.validation.ConstraintViolation,org.springframework.samples.petclinic.model,false,0,55
org.springframework.samples.petclinic.model.ValidatorTests#shouldNotValidateWhenFirstNameEmpty,java.util.Set#iterator,void,org.springframework.samples.petclinic.model,false,0,55
org.springframework.samples.petclinic.model.ValidatorTests#shouldNotValidateWhenFirstNameEmpty,UNKNOWN,void,org.springframework.samples.petclinic.model,false,1,56
org.springframework.samples.petclinic.model.ValidatorTests#shouldNotValidateWhenFirstNameEmpty,UNKNOWN,void,org.springframework.samples.petclinic.model,false,1,56
org.springframework.samples.petclinic.model.ValidatorTests#shouldNotValidateWhenFirstNameEmpty,jakarta.validation.ConstraintViolation#getPropertyPath,void,org.springframework.samples.petclinic.model,false,0,56
org.springframework.samples.petclinic.model.ValidatorTests#shouldNotValidateWhenFirstNameEmpty,UNKNOWN,void,org.springframework.samples.petclinic.model,false,1,57
org.springframework.samples.petclinic.model.ValidatorTests#shouldNotValidateWhenFirstNameEmpty,UNKNOWN,void,org.springframework.samples.petclinic.model,false,1,57
org.springframework.samples.petclinic.model.ValidatorTests#shouldNotValidateWhenFirstNameEmpty,jakarta.validation.ConstraintViolation#getMessage,void,org.springframework.samples.petclinic.model,false,0,57
org.springframework.samples.petclinic.owner.Owner#addPet,org.springframework.samples.petclinic.model.BaseEntity#isNew,boolean,org.springframework.samples.petclinic.owner,true,0,98
org.springframework.samples.petclinic.owner.Owner#addPet,java.util.List#add,boolean,org.springframework.samples.petclinic.owner,false,1,99
org.springframework.samples.petclinic.owner.Owner#addPet,org.springframework.samples.petclinic.owner.Owner#getPets,java.util.List,org.springframework.samples.petclinic.owner,true,0,99
org.springframework.samples.petclinic.owner.Owner#getPet,org.springframework.samples.petclinic.owner.Owner#getPet,org.springframework.samples.petclinic.owner.Pet,org.springframework.samples.petclinic.owner,true,2,109
org.springframework.samples.petclinic.owner.Owner#getPet,org.springframework.samples.petclinic.owner.Owner#getPets,java.util.List,org.springframework.samples.petclinic.owner,true,0,118
org.springframework.samples.petclinic.owner.Owner#getPet,org.springframework.samples.petclinic.model.BaseEntity#isNew,boolean,org.springframework.samples.petclinic.owner,true,0,119
org.springframework.samples.petclinic.owner.Owner#getPet,org.springframework.samples.petclinic.model.BaseEntity#getId,java.lang.Integer,org.springframework.samples.petclinic.owner,true,0,120
org.springframework.samples.petclinic.owner.Owner#getPet,java.util.Objects#equals,boolean,org.springframework.samples.petclinic.owner,false,2,121
org.springframework.samples.petclinic.owner.Owner#getPet,org.springframework.samples.petclinic.owner.Owner#getPets,java.util.List,org.springframework.samples.petclinic.owner,true,0,136
org.springframework.samples.petclinic.owner.Owner#getPet,org.springframework.samples.petclinic.model.NamedEntity#getName,java.lang.String,org.springframework.samples.petclinic.owner,true,0,137
org.springframework.samples.petclinic.owner.Owner#getPet,java.lang.String#equalsIgnoreCase,boolean,org.springframework.samples.petclinic.owner,false,1,138
org.springframework.samples.petclinic.owner.Owner#getPet,org.springframework.samples.petclinic.model.BaseEntity#isNew,boolean,org.springframework.samples.petclinic.owner,true,0,139
org.springframework.samples.petclinic.owner.Owner#toString,UNKNOWN,java.lang.String,org.springframework.samples.petclinic.owner,false,0,149
org.springframework.samples.petclinic.owner.Owner#toString,UNKNOWN,void,org.springframework.samples.petclinic.owner,false,2,149
org.springframework.samples.petclinic.owner.Owner#toString,UNKNOWN,void,org.springframework.samples.petclinic.owner,false,2,149
org.springframework.samples.petclinic.owner.Owner#toString,UNKNOWN,void,org.springframework.samples.petclinic.owner,false,2,149
org.springframework.samples.petclinic.owner.Owner#toString,UNKNOWN,void,org.springframework.samples.petclinic.owner,false,2,149
org.springframework.samples.petclinic.owner.Owner#toString,UNKNOWN,void,org.springframework.samples.petclinic.owner,false,2,149
org.springframework.samples.petclinic.owner.Owner#toString,UNKNOWN,void,org.springframework.samples.petclinic.owner,false,2,149
org.springframework.samples.petclinic.owner.Owner#toString,org.springframework.core.style.ToStringCreator#append,void,org.springframework.samples.petclinic.owner,false,2,149
org.springframework.samples.petclinic.owner.Owner#toString,org.springframework.samples.petclinic.model.BaseEntity#getId,java.lang.Integer,org.springframework.samples.petclinic.owner,true,0,149
org.springframework.samples.petclinic.owner.Owner#toString,org.springframework.samples.petclinic.model.BaseEntity#isNew,boolean,org.springframework.samples.petclinic.owner,true,0,150
org.springframework.samples.petclinic.owner.Owner#toString,org.springframework.samples.petclinic.model.Person#getLastName,java.lang.String,org.springframework.samples.petclinic.owner,true,0,151
org.springframework.samples.petclinic.owner.Owner#toString,org.springframework.samples.petclinic.model.Person#getFirstName,java.lang.String,org.springframework.samples.petclinic.owner,true,0,152
org.springframework.samples.petclinic.owner.Owner#addVisit,org.springframework.util.Assert#notNull,void,org.springframework.samples.petclinic.owner,false,2,166
org.springframework.samples.petclinic.owner.Owner#addVisit,org.springframework.util.Assert#notNull,void,org.springframework.samples.petclinic.owner,false,2,167
org.springframework.samples.petclinic.owner.Owner#addVisit,org.springframework.samples.petclinic.owner.Owner#getPet,org.springframework.samples.petclinic.owner.Pet,org.springframework.samples.petclinic.owner,true,1,169
org.springframework.samples.petclinic.owner.Owner#addVisit,org.springframework.util.Assert#notNull,void,org.springframework.samples.petclinic.owner,false,2,171
org.springframework.samples.petclinic.owner.Owner#addVisit,org.springframework.samples.petclinic.owner.Pet#addVisit,void,org.springframework.samples.petclinic.owner,true,1,173
org.springframework.samples.petclinic.owner.OwnerController#setAllowedFields,org.springframework.web.bind.WebDataBinder#setDisallowedFields,void,org.springframework.samples.petclinic.owner,false,1,61
org.springframework.samples.petclinic.owner.OwnerController#findOwner,java.util.Optional#orElseThrow,org.springframework.samples.petclinic.owner.Owner,org.springframework.samples.petclinic.owner,false,1,67
org.springframework.samples.petclinic.owner.OwnerController#findOwner,org.springframework.samples.petclinic.owner.OwnerRepository#findById,java.util.Optional,org.springframework.samples.petclinic.owner,true,1,67
org.springframework.samples.petclinic.owner.OwnerController#processCreationForm,org.springframework.validation.BindingResult#hasErrors,boolean,org.springframework.samples.petclinic.owner,false,0,79
org.springframework.samples.petclinic.owner.OwnerController#processCreationForm,org.springframework.web.servlet.mvc.support.RedirectAttributes#addFlashAttribute,void,org.springframework.samples.petclinic.owner,false,2,80
org.springframework.samples.petclinic.owner.OwnerController#processCreationForm,UNKNOWN,void,org.springframework.samples.petclinic.owner,false,1,84
org.springframework.samples.petclinic.owner.OwnerController#processCreationForm,org.springframework.web.servlet.mvc.support.RedirectAttributes#addFlashAttribute,void,org.springframework.samples.petclinic.owner,false,2,85
org.springframework.samples.petclinic.owner.OwnerController#processCreationForm,org.springframework.samples.petclinic.model.BaseEntity#getId,java.lang.Integer,org.springframework.samples.petclinic.owner,true,0,86
org.springframework.samples.petclinic.owner.OwnerController#processFindForm,org.springframework.samples.petclinic.model.Person#getLastName,java.lang.String,org.springframework.samples.petclinic.owner,true,0,98
org.springframework.samples.petclinic.owner.OwnerController#processFindForm,org.springframework.samples.petclinic.owner.OwnerController#findPaginatedForOwnersLastName,org.springframework.data.domain.Page,org.springframework.samples.petclinic.owner,true,2,104
org.springframework.samples.petclinic.owner.OwnerController#processFindForm,org.springframework.data.domain.Page#isEmpty,boolean,org.springframework.samples.petclinic.owner,false,0,105
org.springframework.samples.petclinic.owner.OwnerController#processFindForm,org.springframework.validation.BindingResult#rejectValue,void,org.springframework.samples.petclinic.owner,false,3,107
org.springframework.samples.petclinic.owner.OwnerController#processFindForm,org.springframework.data.domain.Page#getTotalElements,void,org.springframework.samples.petclinic.owner,false,0,111
org.springframework.samples.petclinic.owner.OwnerController#processFindForm,UNKNOWN,org.springframework.samples.petclinic.owner.Owner,org.springframework.samples.petclinic.owner,false,0,113
