Caller,CallerSignature,Callee,CalleeSignature,CalleeParameterTypes,ReturnType,IsVoidCall,CallerPackage,CallerLayer,CalleeLayer,LayerRelation,IsInternal,ResolutionQuality,ArgCount,HasLiteralArg,HasNullArg,HasBooleanArg,HasNestedInvocationArg,ArgumentStaticTypes,Line,StandaloneStatement,ReturnUsed,AssignedToVariable,ReturnedDirectly,PassedAsArgument,InIfCondition,InsideIfBody,InsideLoop,InLoopCondition,InsideTry,InsideCatch,InsideFinally,ThrowsHandledLocally,InTernaryCondition,InsideLambda,InsideAnonymousClass,ReceiverCategory,ReceiverExpressionKind,ReceiverType,ReceiverOrigin,InvocationMode,MethodName,NamePattern,NameStartsWithGet,NameStartsWithFind,NameStartsWithSave,NameStartsWithExists,NameStartsWithDelete,NameStartsWithUpdate,NameStartsWithIs,NameStartsWithHas,NameContainsValidate,NameContainsCheck,BooleanLikeCall,CallerMethodNamePattern,CallerReturnType,CallerClassRole,CallerAnnotations,CallerTransactional,CallerTest,CallerRequestHandler,CallerOverride,CalleeAritySignature,ArgumentTypePattern,DistanceInCallChain,InternalResolutionQuality,CalleeModifiers,IsCollectionOperation,CallerMethodFanOut,CallerClassFanOut,CalleeMethodFanIn,CalleeClassFanIn,CallerMethodOutDegreeCentrality,CallerClassOutDegreeCentrality,CalleeMethodInDegreeCentrality,CalleeClassInDegreeCentrality,GuardedByIf,GuardedByNullCheck,GuardedByBooleanCheck,GuardedByInstanceofCheck,PrecededByGuardClause,BranchReturnsOnGuard,BranchThrowsOnGuard,BranchContinuesToInvocation,SameReceiverReferencedInGuard,SameArgumentReferencedInGuard,ReceiverIsProjectType,ReceiverIsExternalType,ReceiverIsFieldDependency,ReceiverIsDomainType,ReceiverIsCollectionType,ReceiverIsOptionalType,ReceiverIsStreamType,AnyArgumentIsProjectType,AnyArgumentIsExternalType,AnyArgumentIsDomainType,AnyArgumentIsCollectionType,AnyArgumentIsOptionalType,AnyArgumentIsPrimitiveLike,AnyArgumentIsStringLike,AnyArgumentIsBooleanLike,HasStringLiteralArg,HasNumericLiteralArg,HasCharLiteralArg,HasEnumArg,LiteralArgumentCount,CalleeDeclarationResolvable,CalleeTypeResolvable,ReceiverTypeResolvable,AllArgumentTypesResolvable,AnyArgumentTypeUnknown,HasKnownReturnType,NameStartsWithNotify,NameStartsWithPublish,NameStartsWithEmit,NameStartsWithDispatch,NameStartsWithFire,NameStartsWithSend,ReceiverLooksLikeObserverPublisher,ReceiverLooksLikeEventBus,ReceiverLooksLikeListenerRegistry,AnyArgumentLooksLikeEvent,AnyArgumentLooksLikeMessage,AnyArgumentLooksLikeListener,InsideTransactionCallback,FollowsStateMutationNearby,CallerContainsMultipleDistinctCallees,SiblingInvocationCountInMethod,CrossLayerCall,CallsDependencyField,CallsDifferentProjectComponentType,InsideDelegationChain,HasChainedOrNestedDelegation,ReturnValueIgnored,ReturnsBoolean,ReturnsCollection,ReturnsOptional,ReturnsProjectType,ReturnsExternalType,MethodLooksAccessor,MethodLooksMutator,CallerLooksQueryMethod,CallerLooksCommandMethod,CallerLooksControllerMethod,CallerLooksFactoryMethod,CallerLooksValidatorMethod,CalleeLooksQueryMethod,CalleeLooksCommandMethod,CalleeLooksValidatorMethod,CalleeLooksFactoryMethod,CalleeLooksControllerMethod,CallerIsPublic,CallerIsPrivate,CallerIsProtected,CallerIsStatic,CallerIsAbstract,CalleeIsStatic,CalleeIsAbstract,CalleeIsPublic,CalleeIsPrivate,PreviousStatementKind,NextStatementKind,PreviousStatementContainsMutation,NextStatementUsesInvocationResult,InvocationResultUsedInComparison,InvocationResultUsedInNullCheck,InvocationFeedsAnotherCall,ArgumentOrigins,AnyArgumentFromField,AnyArgumentFromParameter,AnyArgumentFromLocal,AnyArgumentFromInvocation,AnyArgumentFromConstructor,IsFactoryLikeCall,ReturnsNewProjectType,MethodNameStartsWithCreate,MethodNameStartsWithBuild,MethodNameStartsWithOf,MethodNameStartsWithFrom,ReceiverLooksLikeFactory
org.springframework.samples.petclinic.model.NamedEntity#toString,org.springframework.samples.petclinic.model.NamedEntity#toString(),org.springframework.samples.petclinic.model.NamedEntity#getName,org.springframework.samples.petclinic.model.NamedEntity#getName(),NONE,java.lang.String,false,org.springframework.samples.petclinic.model,domain,domain,domain->domain,true,RESOLVED_INTERNAL,0,false,false,false,false,NONE,47,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,domain_or_internal,THIS,org.springframework.samples.petclinic.model.NamedEntity,THIS,INSTANCE,getName,query,true,false,false,false,false,false,false,false,false,false,false,other,java.lang.String,domain,MappedSuperclass|Override,false,false,false,true,ZERO,NONE,0,INTERNAL_RESOLVED,PUBLIC,false,1,1,13,12,0.00263158,0.00869565,0.03421053,0.10434783,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,true,true,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,false,false,false,false,false,false,false,false,false,false,true,true,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,true,false,NONE,RETURN,false,true,false,false,false,NONE,false,false,false,false,false,false,false,false,false,false,false,false
org.springframework.samples.petclinic.model.ValidatorTests#createValidator,org.springframework.samples.petclinic.model.ValidatorTests#createValidator(),org.springframework.validation.beanvalidation.LocalValidatorFactoryBean#afterPropertiesSet,org.springframework.validation.beanvalidation.LocalValidatorFactoryBean#afterPropertiesSet(),NONE,void,true,org.springframework.samples.petclinic.model,domain,external,domain->external,false,RESOLVED_EXTERNAL,0,false,false,false,false,NONE,39,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,variable,VARIABLE,org.springframework.validation.beanvalidation.LocalValidatorFactoryBean,LOCAL,INSTANCE,afterPropertiesSet,other,false,false,false,false,false,false,false,false,false,false,false,command,jakarta.validation.Validator,domain,NONE,false,false,false,false,ZERO,NONE,0,EXTERNAL,UNKNOWN,false,1,8,1,1,0.00263158,0.06956522,0.00263158,0.00869565,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,LOCAL_VARIABLE,RETURN,false,false,false,false,false,NONE,false,false,false,false,false,false,false,false,false,false,false,true
org.springframework.samples.petclinic.model.ValidatorTests#shouldNotValidateWhenFirstNameEmpty,org.springframework.samples.petclinic.model.ValidatorTests#shouldNotValidateWhenFirstNameEmpty(),org.springframework.context.i18n.LocaleContextHolder#setLocale,org.springframework.context.i18n.LocaleContextHolder#setLocale(java.util.Locale),java.util.Locale,void,true,org.springframework.samples.petclinic.model,domain,external,domain->external,false,RESOLVED_EXTERNAL,1,false,false,false,false,java.util.Locale,46,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,static_type,TYPE_ACCESS,void,STATIC,STATIC,setLocale,command,false,false,false,false,false,false,false,false,false,false,false,other,void,domain,Test,false,true,false,false,ONE,VARIABLE,0,EXTERNAL,UNKNOWN,false,13,8,1,1,0.03421053,0.06956522,0.00263158,0.00869565,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,0,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,15,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,NONE,LOCAL_VARIABLE,false,false,false,false,false,FIELD,true,false,false,false,false,false,false,false,false,false,false,false
org.springframework.samples.petclinic.model.ValidatorTests#shouldNotValidateWhenFirstNameEmpty,org.springframework.samples.petclinic.model.ValidatorTests#shouldNotValidateWhenFirstNameEmpty(),org.springframework.samples.petclinic.model.Person#setFirstName,org.springframework.samples.petclinic.model.Person#setFirstName(java.lang.String),java.lang.String,void,true,org.springframework.samples.petclinic.model,domain,domain,domain->domain,true,RESOLVED_INTERNAL,1,true,false,false,false,java.lang.String,48,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,domain_or_internal,VARIABLE,org.springframework.samples.petclinic.model.Person,LOCAL,INSTANCE,setFirstName,command,false,false,false,false,false,false,false,false,false,false,false,other,void,domain,Test,false,true,false,false,ONE,STRING_LITERAL,0,INTERNAL_RESOLVED,PUBLIC,false,13,8,7,7,0.03421053,0.06956522,0.01842105,0.06086957,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,false,false,false,false,true,false,true,false,false,false,1,true,true,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,15,false,false,false,false,false,false,false,false,false,false,true,false,true,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,LOCAL_VARIABLE,INVOCATION,false,false,false,false,false,CtLiteralImpl,false,false,false,false,false,false,false,false,false,false,false,false
org.springframework.samples.petclinic.model.ValidatorTests#shouldNotValidateWhenFirstNameEmpty,org.springframework.samples.petclinic.model.ValidatorTests#shouldNotValidateWhenFirstNameEmpty(),org.springframework.samples.petclinic.model.Person#setLastName,org.springframework.samples.petclinic.model.Person#setLastName(java.lang.String),java.lang.String,void,true,org.springframework.samples.petclinic.model,domain,domain,domain->domain,true,RESOLVED_INTERNAL,1,true,false,false,false,java.lang.String,49,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,domain_or_internal,VARIABLE,org.springframework.samples.petclinic.model.Person,LOCAL,INSTANCE,setLastName,command,false,false,false,false,false,false,false,false,false,false,false,other,void,domain,Test,false,true,false,false,ONE,STRING_LITERAL,0,INTERNAL_RESOLVED,PUBLIC,false,13,8,8,7,0.03421053,0.06956522,0.02105263,0.06086957,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,false,false,false,false,true,false,true,false,false,false,1,true,true,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,15,false,false,false,false,false,false,false,false,false,false,true,false,true,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,INVOCATION,LOCAL_VARIABLE,true,false,false,false,false,CtLiteralImpl,false,false,false,false,false,false,false,false,false,false,false,false
org.springframework.samples.petclinic.model.ValidatorTests#shouldNotValidateWhenFirstNameEmpty,org.springframework.samples.petclinic.model.ValidatorTests#shouldNotValidateWhenFirstNameEmpty(),org.springframework.samples.petclinic.model.ValidatorTests#createValidator,org.springframework.samples.petclinic.model.ValidatorTests#createValidator(),NONE,jakarta.validation.Validator,false,org.springframework.samples.petclinic.model,domain,domain,domain->domain,true,RESOLVED_INTERNAL,0,false,false,false,false,NONE,51,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,domain_or_internal,THIS,org.springframework.samples.petclinic.model.ValidatorTests,THIS,INSTANCE,createValidator,command,false,false,false,false,false,false,false,false,false,false,false,other,void,domain,Test,false,true,false,false,ZERO,NONE,0,INTERNAL_RESOLVED,PRIVATE,false,13,8,1,1,0.03421053,0.06956522,0.00263158,0.00869565,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,true,true,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,15,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,true,INVOCATION,LOCAL_VARIABLE,true,true,false,false,false,NONE,false,false,false,false,false,true,false,true,false,false,false,false
org.springframework.samples.petclinic.model.ValidatorTests#shouldNotValidateWhenFirstNameEmpty,org.springframework.samples.petclinic.model.ValidatorTests#shouldNotValidateWhenFirstNameEmpty(),jakarta.validation.Validator#validate,jakarta.validation.Validator#validate(org.springframework.samples.petclinic.model.Person),org.springframework.samples.petclinic.model.Person,java.util.Set,false,org.springframework.samples.petclinic.model,domain,external,domain->external,false,RESOLVED_EXTERNAL,1,false,false,false,false,org.springframework.samples.petclinic.model.Person,52,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,variable,VARIABLE,jakarta.validation.Validator,LOCAL,INSTANCE,validate,guard,false,false,false,false,false,false,false,false,true,false,false,other,void,domain,Test,false,true,false,false,ONE,VARIABLE,0,EXTERNAL,UNKNOWN,false,13,8,1,1,0.03421053,0.06956522,0.00263158,0.00869565,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0,false,true,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,15,false,false,false,false,false,false,false,true,false,false,true,false,false,false,true,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,LOCAL_VARIABLE,INVOCATION,false,true,false,false,false,LOCAL,false,false,true,false,false,false,false,false,false,false,false,false
org.springframework.samples.petclinic.model.ValidatorTests#shouldNotValidateWhenFirstNameEmpty,org.springframework.samples.petclinic.model.ValidatorTests#shouldNotValidateWhenFirstNameEmpty(),hasSize,hasSize(int),int,void,true,org.springframework.samples.petclinic.model,domain,unknown,domain->unknown,false,NO_DECLARING_TYPE,1,true,false,false,false,int,54,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,chained_call,CHAINED_INVOCATION,UNKNOWN,CHAINED,CHAINED,hasSize,guard,false,false,false,false,false,false,false,true,false,false,true,other,void,domain,Test,false,true,false,false,ONE,NUMBER_LITERAL,1,UNRESOLVED,UNKNOWN,false,13,8,6,25,0.03421053,0.06956522,0.01578947,0.21739130,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,true,false,false,1,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,15,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,LOCAL_VARIABLE,LOCAL_VARIABLE,false,false,false,false,false,CtLiteralImpl,false,false,false,false,false,false,false,false,false,false,false,false
org.springframework.samples.petclinic.model.ValidatorTests#shouldNotValidateWhenFirstNameEmpty,org.springframework.samples.petclinic.model.ValidatorTests#shouldNotValidateWhenFirstNameEmpty(),assertThat,assertThat(<unknown>),null,void,true,org.springframework.samples.petclinic.model,domain,unknown,domain->unknown,false,NO_DECLARING_TYPE,1,false,false,false,false,java.util.Set,54,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,domain_or_internal,THIS,org.springframework.samples.petclinic.model.ValidatorTests,THIS,INSTANCE,assertThat,other,false,false,false,false,false,false,false,false,false,false,false,other,void,domain,Test,false,true,false,false,ONE,VARIABLE,0,UNRESOLVED,UNKNOWN,false,13,8,9,25,0.03421053,0.06956522,0.02368421,0.21739130,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,0,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,15,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,LOCAL_VARIABLE,LOCAL_VARIABLE,false,false,false,false,true,LOCAL,false,false,true,false,false,false,false,false,false,false,false,false
org.springframework.samples.petclinic.model.ValidatorTests#shouldNotValidateWhenFirstNameEmpty,org.springframework.samples.petclinic.model.ValidatorTests#shouldNotValidateWhenFirstNameEmpty(),next,next(),NONE,jakarta.validation.ConstraintViolation,false,org.springframework.samples.petclinic.model,domain,unknown,domain->unknown,false,NO_DECLARING_TYPE,0,false,false,false,false,NONE,55,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,chained_call,CHAINED_INVOCATION,UNKNOWN,CHAINED,CHAINED,next,other,false,false,false,false,false,false,false,false,false,false,false,other,void,domain,Test,false,true,false,false,ZERO,NONE,1,UNRESOLVED,UNKNOWN,false,13,8,2,25,0.03421053,0.06956522,0.00526316,0.21739130,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,15,false,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,INVOCATION,INVOCATION,false,true,false,false,false,NONE,false,false,false,false,false,false,false,false,false,false,false,false
